section,stick,top_depth,bottom_depth,mid_depth,co2,ch4,tac,x_lo,x_hi,y_lo,y_hi,section_top_depth,offset,default_color,effective_center_x,effective_center_y,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
228_4,rch4,155.0725,155.1,155.08625,,513.3964359,0.100997292,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.057388249863,155.084888249863,155.07113824986303
228_4,rch4,155.1,155.125,155.1125,,521.2016861,0.097894288,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.084888249863,155.10988824986302,155.09738824986303
228_4,rch4,155.125,155.15,155.1375,,566.799181,0.093101737,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.10988824986302,155.13488824986302,155.122388249863
228_4,rch4,155.15,155.175,155.1625,,575.7399634,0.096401944,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.13488824986302,155.15988824986303,155.147388249863
228_4,rch4,155.175,155.2,155.1875,,593.4860855,0.100555226,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.15988824986303,155.184888249863,155.17238824986302
228_4,rch4,155.2,155.2275,155.21375,,618.5803735,0.096052948,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.184888249863,155.212388249863,155.19863824986302
228_4,rch4,155.2275,155.27,155.24875,,627.7771536,0.096107177,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.212388249863,155.25488824986303,155.23363824986302
228_4,rch4,155.27,155.295,155.2825,,578.2550369,0.099159223,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.25488824986303,155.279888249863,155.26738824986302
228_4,rch4,155.295,155.32,155.3075,,572.0476569,0.08516408,0.0,0.05,0.0,0.03,,,7.0,0.025,0.015,-36.77605111603976,13.403045485590871,155.279888249863,155.304888249863,155.29238824986302
228_4,lco2,155.07,155.0925,155.08125,646.0,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.1165523691956,155.1390523691956,155.12780236919562
228_4,lco2,155.0925,155.1125,155.1025,751.0,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.1390523691956,155.15905236919562,155.1490523691956
228_4,lco2,155.1125,155.14,155.12625,799.0,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.15905236919562,155.1865523691956,155.1728023691956
228_4,lco2,155.14,155.1625,155.15125,822.0,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.1865523691956,155.2090523691956,155.1978023691956
228_4,lco2,155.1625,155.1825,155.1725,818.9,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.2090523691956,155.2290523691956,155.21905236919562
228_4,lco2,155.1825,155.2025,155.1925,793.46,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.2290523691956,155.2490523691956,155.2390523691956
228_4,lco2,155.2025,155.2225,155.2125,773.09,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.2490523691956,155.2690523691956,155.25905236919562
228_4,lco2,155.2225,155.2575,155.24,741.4,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.2690523691956,155.3040523691956,155.28655236919562
228_4,lco2,155.2575,155.2775,155.2675,731.26,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.3040523691956,155.3240523691956,155.31405236919562
228_4,lco2,155.2775,155.2975,155.2875,727.65,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.3240523691956,155.34405236919562,155.3340523691956
228_4,lco2,155.2975,155.3175,155.3075,740.8,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.34405236919562,155.3640523691956,155.3540523691956
228_4,lco2,155.3175,155.33,155.32375,769.28,,,-0.075,-0.04,0.0,0.03,,,4.0,-0.0575,0.015,-36.77605111603976,13.403045485590871,155.3640523691956,155.37655236919562,155.3703023691956
230_4,co2,156.78900000000002,156.81400000000002,156.80150000000003,929.653260900015,,,0.0,0.03,0.033,0.063,156.77,19.0,4.0,0.015,0.048,27.81977619748942,30.452979490761543,156.82513634732507,156.85013634732508,156.8376363473251
230_4,co2,156.81500000000003,156.83900000000003,156.82700000000003,930.446943990467,,,0.0,0.03,0.033,0.063,156.77,19.0,4.0,0.015,0.048,27.81977619748942,30.452979490761543,156.85113634732508,156.87513634732508,156.86313634732508
230_4,co2,156.83900000000003,156.86300000000003,156.85100000000003,914.5860595133993,,,0.0,0.03,0.033,0.063,156.77,19.0,4.0,0.015,0.048,27.81977619748942,30.452979490761543,156.87513634732508,156.89913634732508,156.88713634732508
